v1,v2
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
ham,Apps class varaya elaya.
ham,Okay... I booked all already... Including the one at bugis.
ham,We'll join the  &lt;#&gt;  bus
ham,U attend ur driving lesson how many times a wk n which day?
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
ham,Wat time do u wan 2 meet me later?
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app 
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
ham,Nah im goin 2 the wrks with j wot bout u?
ham,That's my honeymoon outfit. :)
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,I'm done oredi...
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,Check wid corect speling i.e. Sarcasm
ham,"Aight that'll work, thanks"
ham,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
ham,"Ya, told..she was asking wats matter?"
ham,K..k:)how much does it cost?
ham,I'm done...
ham,I tagged MY friends that you seemed to count as YOUR friends.
ham,I cant pick the phone right now. Pls send a message
ham,Yes but I don't care cause I know its there!
ham,Pls i wont belive god.not only jesus.
ham,Still work going on:)it is very small house.
ham,"That's cool, I'll come by like  &lt;#&gt; ish"
ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
ham,Cos darren say Ì_ considering mah so i ask Ì_...
ham,Yay can't wait to party together!
ham,Ma head dey swell oh. Thanks for making my day
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,I've sent Ì_ my part..
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.
ham,Dunno lei Ì_ all decide lor. How abt leona? Oops i tot ben is going n i msg him.
ham,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?"
ham,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! "
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,"Yes obviously, but you are the eggs-pert and the potato headÛ_ Speak soon! "
ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
ham,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay"
ham,I went to ur hon lab but no one is there.
ham,Sending you greetings of joy and happiness. Do have a gr8 evening
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
spam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
ham,if you text on your way to cup stop that should work. And that should be BUS
ham,Its not that time of the month nor mid of the time?
ham,"Yeah probably, I still gotta check out with leo"
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me
ham,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)"
ham,Hahaha..use your brain dear
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
ham,Where in abj are you serving. Are you staying with dad or alone.
ham,How much r Ì_ willing to pay?
ham,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
ham,O. Guess they both got screwd
ham,"Lol, oh you got a friend for the dog ?"
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
ham,R u saying i should re order the slippers cos i had to pay for returning it.
ham,Yeah my usual guy's out of town but there're definitely people around I know
ham,ÌÏ collecting ur laptop then going to configure da settings izzit?
ham,Lol yeah at this point I guess not
ham,ÌÏ wait 4 me in sch i finish ard 5..
ham,"Sorry, I'll call later"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
ham,So how are you really. What are you up to. How's the masters. And so on.
ham,How many licks does it take to get to the center of a tootsie pop?
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
ham,Ok. There may be a free gym about.
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
ham,Where wuld I be without my baby? The thought alone mite break me and I donåÕt wanna go crazy but everyboy needs his lady xxxxxxxx
spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ..."
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham,"sry can't talk on phone, with parents"
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
ham,"When you just put in the + sign, choose my number and the pin will show. Right?"
ham,Ok. No wahala. Just remember that a friend in need ...
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
ham,What should i eat fo lunch senor
ham,It only does simple arithmetic not percentages.
ham,How much is blackberry bold2 in nigeria.
ham,Ok c Ì_ then.
ham,Yeah get the unlimited
ham,....photoshop makes my computer shut down.
ham,Did u fix the teeth?if not do it asap.ok take care.
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,"Aight, you close by or still down around alex's place?"
ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
ham,Gud mrng dear have a nice day
ham,Now? I'm going out 4 dinner soon..
ham,Ffffffffff. Alright no way I can meet up with you sooner?
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
spam,Win a å£1000 cash prize or a prize worth å£5000
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
ham,"Cool, what time you think you can get here?"
ham,Maybe you should find something else to do instead???
ham,I havent lei.. Next mon can?
ham,IÛ÷m going to try for 2 months ha ha only joking
ham,Well I'm going to be an aunty!
ham,Delhi and chennai still silent.
ham,COME BACK TO TAMPA FFFFUUUUUUU
ham,Yeah jay's sort of a fucking retard
ham,Thanks for looking out for me. I really appreciate.
ham,Ok then no need to tell me anything i am going to sleep good night
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,Sorry about that this is my mates phone and i didnt write it love Kate
ham,Raviyog Peripherals bhayandar east
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...
ham,Must come later.. I normally bathe him in da afternoon mah..
ham,"Hey , is * rite u put åÈ10 evey mnth is that all?"
ham,Yes. that will be fine. Love you. Be safe.
ham,Ho ho - big belly laugh! See ya tomo
ham,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ì_ cut ur hair. 
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,"Sorry, I'll call later"
ham,Are there TA jobs available? Let me know please cos i really need to start working
ham,From tomorrow onwards eve 6 to 3 work.
ham,But we havent got da topic yet rite?
ham,Ok...
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
ham,Mm that time you dont like fun
ham,"fyi I'm at usf now, swing by the room whenever"
ham,Cancel cheyyamo?and get some money back?
ham,Having lunch:)you are not in online?why?
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
ham,Hmmm.still we dont have opener?
ham,You stayin out of trouble stranger!!saw Dave the other day heåÕs sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
ham, and  picking them up from various points
ham,No. But we'll do medical missions to nigeria
ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
ham,Hmm .. Bits and pieces lol ... *sighs* ...
ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
spam,2/2 146tf150p
ham,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here
ham,"Velly good, yes please!"
ham,Roger that. WeÛ÷re probably going to rem in about 20
ham,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!
ham,Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
ham,Already one guy loving you:-.
ham,Aight should I just plan to come up later tonight?
ham,Ok. How many should i buy.
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
ham,That one week leave i put know that time. Why.
ham,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
ham,Goodmorning sleeping ga.
ham,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ì_ leaving earlier or wat mah cos mayb Ì_ haf to walk v far...
ham,Okie
ham,Ok i'm coming home now.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,"Haha, that was the first person I was gonna ask"
ham,Audrie lousy autocorrect
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
ham,Is xy going 4 e lunch?
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
ham,Have you finished work yet? :)
ham,Do u noe how 2 send files between 2 computers?
ham,No. She's currently in scotland for that.
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,Nokia phone is lovly..
ham,Lol I would but despite these cramps I like being a girl.
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,Uhhhhrmm isnt having tb test bad when youre sick
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,I went to project centre
ham,O we cant see if we can join denis and mina? Or does denis want alone time
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
ham,So u wan 2 come for our dinner tonight a not?
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
ham,Captain vijaykanth is doing comedy in captain tv..he is drunken :)
ham,Ok. She'll be ok. I guess
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,i can call in  &lt;#&gt;  min if thats ok
ham,One of best dialogue in cute reltnship..!! \Wen i Die
ham,Aight what time you want me to come up?
ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.
ham,I like to think there's always the possibility of being in a pub later.
ham,I am great princess! What are you thinking about me? :)
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
ham,No dear i was sleeping :-P
ham,I dont thnk its a wrong calling between us
spam,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
ham,Yes..gauti and sehwag out of odi series.
ham,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
ham,I doubt you could handle 5 times per night in any case...
ham,I am in a marriage function
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
ham,Nope. I just forgot. Will show next week
ham,2mro i am not coming to gym machan. Goodnight.
spam,Missed call alert. These numbers called but left no message. 07008009200
ham,\Hey j! r u feeling any better
ham,Where to get those?
ham,So what did the bank say about the money?
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
ham,1's finish meeting call me.
ham,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
ham,Have a good evening! Ttyl
ham,I am taking you for italian food. How about a pretty dress with no panties? :)
ham,I think steyn surely get one wicket:)
ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.
ham,Happy New Year Princess!
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.
ham,And now electricity just went out fml.
ham,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... 
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
ham,Went to pay rent. So i had to go to the bank to authorise the payment.
ham,"I call you later, don't have network. If urgnt, sms me."
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""
ham,Yo you around? A friend of mine's lookin to pick up later tonight
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.
ham,Like a personal sized or what
ham,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
ham,Thx. All will be well in a few months
ham,PS U no ur a grown up now right?
ham,Is ur paper in e morn or aft tmr?
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
ham,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
ham,You do what all you like
ham,Are you planning to come chennai?
spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007"
spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
ham,"Sorry, I'll call later"
ham,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
ham,Yo come over carlos will be here soon
ham,At home by the way
ham,Dunno lei he neva say...
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
ham,Or I guess  &lt;#&gt;  min
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
ham,Wen did you get so spiritual and deep. That's great
ham,Thanks for ve lovely wisheds. You rock
ham,Oh ok.. Wat's ur email?
ham,Ok then i will come to ur home after half an hour
ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep"
ham,"I'm not sure, I was just checking out what was happening around the area"
ham,Really do hope the work doesnt get stressful. Have a gr8 day.
ham,Is ur paper today in e morn or aft?
ham,Okie...
ham,Ok lor. Msg me b4 u call.
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,Somebody set up a website where you can play hold em using eve online spacebucks
ham,I've reached sch already...
ham,Ugh my leg hurts. Musta overdid it on mon.
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
ham,How is it possible to teach you. And where.
ham,Why don't you wait 'til at least wednesday to see if you get your .
ham,And whenever you and i see we can still hook up too.
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
ham,But pls dont play in others life.
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
ham,Long beach lor. Expected... U having dinner now?
ham,What * u wearing?
ham,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
ham,"Cool, text me when you head out"
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with"
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,"Yo, you at jp and hungry like a mofo?"
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
ham,I'll reach in ard 20 mins ok...
ham,Wat r u doing?
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
ham,There's no point hangin on to mr not right if he's not makin u happy
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.
ham,Good Morning my Dear........... Have a great &amp; successful day.
ham,"Aight will do, thanks again for comin out"
ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?
ham,Cramps stopped. Going back to sleep
ham,Hey u still at the gym?
ham,Where r e meeting tmr?
ham,Den wat will e schedule b lk on sun?
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
ham,K I'll be sure to get up before noon and see what's what
ham,Ok... I din get ur msg...
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
ham,"Yup, leaving right now, be back soon"
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
ham,Yes i have. So that's why u texted. Pshew...missing you so much
ham,Going to take your babe out ?
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
ham,I'm ok. Will do my part tomorrow
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
ham,Have your lunch and come quickly and open the door:)
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
ham,That's y we haf to combine n c how lor...
spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
spam,URGENT We are trying to contact you Last weekends draw shows u have won a å£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,Po de :-):):-):-):-). No need job aha.
ham,"That means you got an A in epi, she.s fine. She.s here now."
ham,"Er, hello, things didnÛ÷t quite go to plan ÛÒ is limping slowly home followed by aa and with exhaust hanging off"
ham,Ok... Let u noe when i leave my house.
ham,"Nah I don't think he goes to usf, he lives around here though"
ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, "
spam,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
ham,"Sorry, I'll call later"
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
ham,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.
